date_and_time,lat,lon,speed
16-04-12 15:56:53:000,32.091712,34.974274,10
16-04-12 15:56:54:000,32.091697,34.974315,11
16-04-12 15:56:55:000,32.091685,34.974349,11
16-04-12 15:56:56:000,32.091668,34.974402,13
16-04-12 15:56:57:000,32.09168,34.97438,6
16-04-12 15:56:58:000,32.091683,34.974433,7
16-04-12 15:56:59:000,32.091652,34.974437,8
16-04-12 15:57:00:000,32.091639,34.974494,11
16-04-12 15:57:01:000,32.091625,34.974528,12
16-04-12 15:57:02:000,32.091584,34.97458,13
16-04-12 15:57:03:000,32.091589,34.974607,10
16-04-12 15:57:04:000,32.091573,34.974616,8
16-04-12 15:57:05:000,32.091577,34.974645,8
16-04-12 15:57:06:000,32.091567,34.974679,6
16-04-12 15:57:07:000,32.09154,34.974709,8
16-04-12 15:57:08:000,32.091517,34.974734,8
16-04-12 15:57:09:000,32.091512,34.974779,10
16-04-12 15:57:10:000,32.091505,34.974839,10
16-04-12 15:57:11:000,32.091494,34.974897,11
16-04-12 15:57:12:000,32.091483,34.974925,11
16-04-12 15:57:13:000,32.091484,34.974948,8
16-04-12 15:57:14:000,32.091504,34.974965,4
16-04-12 15:57:15:000,32.091501,34.974975,4
16-04-12 15:57:16:000,32.091505,34.975001,6
16-04-12 15:57:17:000,32.091484,34.975049,8
16-04-12 15:57:18:000,32.091481,34.97507,8
16-04-12 15:57:19:000,32.091472,34.97513,12
16-04-12 15:57:20:000,32.091472,34.975151,10
16-04-12 15:57:21:000,32.091465,34.975197,11
16-04-12 15:57:22:000,32.09147,34.975241,9
16-04-12 15:57:23:000,32.091474,34.975272,9
16-04-12 15:57:24:000,32.091493,34.975311,10
16-04-12 15:57:25:000,32.091489,34.975339,10
16-04-12 15:57:26:000,32.091465,34.97539,12
16-04-12 15:57:27:000,32.091488,34.97544,13
16-04-12 15:57:28:000,32.091508,34.975508,15
16-04-12 15:57:29:000,32.091512,34.975541,14
16-04-12 15:57:30:000,32.091547,34.975621,15
16-04-12 15:57:31:000,32.091531,34.975635,12
16-04-12 15:57:32:000,32.091543,34.975687,13
16-04-12 15:57:33:000,32.091557,34.975728,11
16-04-12 15:57:34:000,32.091578,34.975776,11
16-04-12 15:57:35:000,32.091571,34.975819,12
16-04-12 15:57:36:000,32.091574,34.97584,12
16-04-12 15:57:37:000,32.091578,34.975883,12
16-04-12 15:57:38:000,32.091593,34.975911,13
16-04-12 15:57:39:000,32.091601,34.975961,13
16-04-12 15:57:40:000,32.091629,34.975979,13
16-04-12 15:57:41:000,32.09165,34.976032,14
16-04-12 15:57:42:000,32.091643,34.976051,12
16-04-12 15:57:43:000,32.091663,34.976091,13
16-04-12 15:57:44:000,32.091675,34.976119,11
16-04-12 15:57:45:000,32.091687,34.976163,11
16-04-12 15:57:46:000,32.091685,34.9762,11
16-04-12 15:57:47:000,32.091707,34.976235,10
16-04-12 15:57:48:000,32.09173,34.97626,10
16-04-12 15:57:49:000,32.091747,34.976306,12
16-04-12 15:57:50:000,32.091756,34.976329,11
16-04-12 15:57:51:000,32.091756,34.976361,10
16-04-12 15:57:52:000,32.091772,34.97639,11
16-04-12 15:57:53:000,32.091769,34.976433,11
16-04-12 15:57:54:000,32.091763,34.976457,10
16-04-12 15:57:55:000,32.091765,34.976499,12
16-04-12 15:57:56:000,32.091791,34.976529,10
16-04-12 15:57:57:000,32.091807,34.976558,10
16-04-12 15:57:58:000,32.091807,34.976565,9
16-04-12 15:57:59:000,32.091836,34.976623,12
16-04-12 15:58:00:000,32.091851,34.976639,11
16-04-12 15:58:01:000,32.091855,34.976713,11
16-04-12 15:58:02:000,32.091884,34.976743,11
16-04-12 15:58:03:000,32.0919,34.976776,11
16-04-12 15:58:04:000,32.091908,34.976802,10
16-04-12 15:58:05:000,32.091912,34.976841,12
16-04-12 15:58:06:000,32.091909,34.976862,11
16-04-12 15:58:07:000,32.091921,34.976899,11
16-04-12 15:58:08:000,32.09193,34.976922,11
16-04-12 15:58:09:000,32.09195,34.976964,11
16-04-12 15:58:10:000,32.091931,34.977007,11
16-04-12 15:58:11:000,32.091933,34.977035,12
16-04-12 15:58:12:000,32.091969,34.977046,12
16-04-12 15:58:13:000,32.091972,34.977065,11
16-04-12 15:58:14:000,32.09197,34.977084,11
16-04-12 15:58:15:000,32.091969,34.977116,10
16-04-12 15:58:16:000,32.091978,34.977158,13
16-04-12 15:58:17:000,32.092015,34.977195,12
16-04-12 15:58:18:000,32.09203,34.977223,12
16-04-12 15:58:19:000,32.092053,34.977253,11
16-04-12 15:58:20:000,32.092052,34.977281,10
16-04-12 15:58:21:000,32.09208,34.977306,10
16-04-12 15:58:22:000,32.092114,34.977342,11
16-04-12 15:58:23:000,32.092129,34.977378,11
16-04-12 15:58:24:000,32.092141,34.977415,12
16-04-12 15:58:25:000,32.09216,34.977446,11
16-04-12 15:58:26:000,32.092191,34.977478,14
16-04-12 15:58:27:000,32.092204,34.977503,12
16-04-12 15:58:28:000,32.092234,34.977532,13
